State,Time (s),Latitude,Longitude
Orbital coast,2081.699999999107,-5.017497990414391,137.18126878608155
Orbital coast,2081.799999999107,-5.019550135303069,137.1868801717173
Orbital coast,2081.899999999107,-5.021602224951558,137.1924915953905
Orbital coast,2081.999999999107,-5.023654259336795,137.19810305711593
Orbital coast,2082.099999999107,-5.025706238435714,137.20371455690838
Orbital coast,2082.1999999991067,-5.027758162225247,137.20932609478268
Orbital coast,2082.2999999991066,-5.029810030682328,137.2149376707536
Orbital coast,2082.3999999991065,-5.0318618437838945,137.220549284836
Orbital coast,2082.4999999991064,-5.033913601506882,137.2261609370446
Orbital coast,2082.5999999991063,-5.03596530382822,137.23177262739424
Orbital coast,2082.6999999991062,-5.038016950724842,137.23738435589968
Orbital coast,2082.799999999106,-5.040068542173687,137.24299612257573
Orbital coast,2082.899999999106,-5.042120078151689,137.2486079274372
Orbital coast,2082.999999999106,-5.04417155863578,137.25421977049888
Orbital coast,2083.099999999106,-5.046222983602898,137.25983165177553
Orbital coast,2083.199999999106,-5.048274353029975,137.26544357128196
Orbital coast,2083.2999999991057,-5.050325666893946,137.27105552903294
Orbital coast,2083.3999999991056,-5.052376925171748,137.27666752504325
Orbital coast,2083.4999999991055,-5.054428127840312,137.28227955932772
Orbital coast,2083.5999999991054,-5.056479274876578,137.28789163190112
Orbital coast,2083.6999999991053,-5.058530366257476,137.29350374277817
Orbital coast,2083.7999999991052,-5.060581401959942,137.29911589197368
Orbital coast,2083.899999999105,-5.062632381960915,137.30472807950247
Orbital coast,2083.999999999105,-5.064683306237322,137.31034030537924
Orbital coast,2084.099999999105,-5.066734174766107,137.31595256961887
Orbital coast,2084.199999999105,-5.0687849875242,137.32156487223602
Orbital coast,2084.299999999105,-5.070835744488539,137.32717721324556
Orbital coast,2084.3999999991047,-5.072886445636056,137.3327895926622
Orbital coast,2084.4999999991046,-5.074937090943686,137.33840201050074
Orbital coast,2084.5999999991045,-5.076987680388369,137.34401446677595
Orbital coast,2084.6999999991044,-5.079038213947037,137.34962696150257
Orbital coast,2084.7999999991043,-5.081088691596624,137.35523949469538
Orbital coast,2084.8999999991042,-5.083139113314068,137.36085206636918
Orbital coast,2084.999999999104,-5.085189479076305,137.36646467653867
Orbital coast,2085.099999999104,-5.087239788860269,137.37207732521867
Orbital coast,2085.199999999104,-5.0892900426428955,137.3776900124239
Orbital coast,2085.299999999104,-5.091340240401122,137.38330273816916
Orbital coast,2085.399999999104,-5.093390382111882,137.38891550246916
Orbital coast,2085.4999999991037,-5.095440467752113,137.3945283053387
Orbital coast,2085.5999999991036,-5.0974904972987485,137.40014114679252
Orbital coast,2085.6999999991035,-5.099540470728727,137.40575402684536
Orbital coast,2085.7999999991034,-5.101590388018984,137.411366945512
Orbital coast,2085.8999999991033,-5.103640249146455,137.41697990280718
Orbital coast,2085.9999999991032,-5.105690054088074,137.42259289874562
Orbital coast,2086.099999999103,-5.107739802820779,137.42820593334213
Orbital coast,2086.199999999103,-5.109789495321506,137.43381900661143
Orbital coast,2086.299999999103,-5.11183913156719,137.43943211856822
Orbital coast,2086.399999999103,-5.113888711534768,137.4450452692273
Orbital coast,2086.499999999103,-5.115938235201177,137.4506584586034
Orbital coast,2086.5999999991027,-5.117987702543353,137.45627168671132
Orbital coast,2086.6999999991026,-5.12003711353823,137.4618849535657
Orbital coast,2086.7999999991025,-5.122086468162747,137.46749825918135
Orbital coast,2086.8999999991024,-5.124135766393838,137.47311160357293
Orbital coast,2086.9999999991023,-5.126185008208444,137.47872498675525
Orbital coast,2087.0999999991022,-5.128234193583498,137.48433840874304
Orbital coast,2087.199999999102,-5.130283322495935,137.48995186955102
Orbital coast,2087.299999999102,-5.132332394922694,137.4955653691939
Orbital coast,2087.399999999102,-5.134381410840714,137.5011789076865
Orbital coast,2087.499999999102,-5.136430370226927,137.50679248504343
Orbital coast,2087.599999999102,-5.138479273058272,137.5124061012795
Orbital coast,2087.6999999991017,-5.140528119311686,137.5180197564094
Orbital coast,2087.7999999991016,-5.142576908964105,137.52363345044785
Orbital coast,2087.8999999991015,-5.144625641992465,137.52924718340967
Orbital coast,2087.9999999991014,-5.146674318373707,137.53486095530943
Orbital coast,2088.0999999991013,-5.148722938084761,137.54047476616194
Orbital coast,2088.1999999991012,-5.1507715011025725,137.54608861598194
Orbital coast,2088.299999999101,-5.152820007404072,137.55170250478412
Orbital coast,2088.399999999101,-5.1548684569662,137.55731643258315
Orbital coast,2088.499999999101,-5.156916849765892,137.56293039939385
Orbital coast,2088.599999999101,-5.158965185780088,137.56854440523088
Orbital coast,2088.699999999101,-5.161013464985721,137.57415845010894
Orbital coast,2088.7999999991007,-5.16306168735973,137.57977253404277
Orbital coast,2088.8999999991006,-5.165109852879055,137.58538665704708
Orbital coast,2088.9999999991005,-5.167157961520631,137.59100081913655
Orbital coast,2089.0999999991004,-5.169206013261394,137.5966150203259
Orbital coast,2089.1999999991003,-5.171254008078286,137.60222926062988
Orbital coast,2089.2999999991002,-5.17330194594824,137.60784354006316
Orbital coast,2089.3999999991,-5.175349826848197,137.61345785864046
Orbital coast,2089.4999999991,-5.177397650755091,137.61907221637642
Orbital coast,2089.5999999991,-5.179445417645861,137.62468661328586
Orbital coast,2089.6999999991,-5.181493127497447,137.63030104938338
Orbital coast,2089.7999999991,-5.183540780286786,137.63591552468372
Orbital coast,2089.8999999990997,-5.185588375990816,137.64153003920157
Orbital coast,2089.9999999990996,-5.187635914586471,137.64714459295163
Orbital coast,2090.0999999990995,-5.189683396050696,137.65275918594858
Orbital coast,2090.1999999990994,-5.1917308203604255,137.65837381820717
Orbital coast,2090.2999999990993,-5.193778187492595,137.66398848974205
Orbital coast,2090.3999999990992,-5.195825497424146,137.6696032005679
Orbital coast,2090.499999999099,-5.197872750132015,137.67521795069942
Orbital coast,2090.599999999099,-5.199919945593145,137.6808327401513
Orbital coast,2090.699999999099,-5.201967083784466,137.68644756893823
Orbital coast,2090.799999999099,-5.2040141646829206,137.69206243707487
Orbital coast,2090.899999999099,-5.2060611882654495,137.697677344576
Orbital coast,2090.9999999990987,-5.208108154508987,137.70329229145617
Orbital coast,2091.0999999990986,-5.210155063390474,137.70890727773013
Orbital coast,2091.1999999990985,-5.212201914886847,137.7145223034126
Orbital coast,2091.2999999990984,-5.214248708975047,137.72013736851818
Orbital coast,2091.3999999990983,-5.216295445632013,137.72575247306156
Orbital coast,2091.4999999990982,-5.218342124834678,137.7313676170575
Orbital coast,2091.599999999098,-5.22038874655999,137.73698280052054
Orbital coast,2091.699999999098,-5.222435310784879,137.74259802346546
Orbital coast,2091.799999999098,-5.224481817486289,137.74821328590696
Orbital coast,2091.899999999098,-5.226528266641159,137.75382858785957
Orbital coast,2091.999999999098,-5.228574658226423,137.75944392933806
Orbital coast,2092.0999999990977,-5.230620992219024,137.7650593103571
Orbital coast,2092.1999999990976,-5.232667268595903,137.7706747309313
Orbital coast,2092.2999999990975,-5.234713487333993,137.77629019107536
Orbital coast,2092.3999999990974,-5.236759648410239,137.78190569080397
Orbital coast,2092.4999999990973,-5.238805751801578,137.78752123013174
Orbital coast,2092.5999999990972,-5.240851797484948,137.7931368090734
Orbital coast,2092.699999999097,-5.2428977854372905,137.79875242764354
Orbital coast,2092.799999999097,-5.244943715635542,137.80436808585685
Orbital coast,2092.899999999097,-5.2469895880566435,137.80998378372797
Orbital coast,2092.999999999097,-5.249035402677536,137.8155995212716
Orbital coast,2093.099999999097,-5.2510811594751585,137.82121529850232
Orbital coast,2093.1999999990967,-5.253126858426448,137.82683111543486
Orbital coast,2093.2999999990966,-5.255172499508347,137.83244697208386
Orbital coast,2093.3999999990965,-5.25721808269779,137.8380628684639
Orbital coast,2093.4999999990964,-5.259263607971726,137.8436788045897
Orbital coast,2093.5999999990963,-5.261309075307087,137.8492947804759
Orbital coast,2093.6999999990962,-5.263354484680815,137.85491079613712
Orbital coast,2093.799999999096,-5.26539983606985,137.860526851588
Orbital coast,2093.899999999096,-5.267445129451134,137.86614294684324
Orbital coast,2093.999999999096,-5.269490364801602,137.8717590819174
Orbital coast,2094.099999999096,-5.2715355420981975,137.87737525682516
Orbital coast,2094.199999999096,-5.27358066131786,137.8829914715812
Orbital coast,2094.2999999990957,-5.27562572243753,137.8886077262001
Orbital coast,2094.3999999990956,-5.277670725434146,137.89422402069653
Orbital coast,2094.4999999990955,-5.279715670284653,137.89984035508508
Orbital coast,2094.5999999990954,-5.281760556965986,137.90545672938043
Orbital coast,2094.6999999990953,-5.283805385455086,137.9110731435972
Orbital coast,2094.7999999990952,-5.285850155728896,137.91668959775004
Orbital coast,2094.899999999095,-5.287894867764355,137.92230609185353
Orbital coast,2094.999999999095,-5.289939521538405,137.92792262592235
Orbital coast,2095.099999999095,-5.291984117027985,137.9335391999711
Orbital coast,2095.199999999095,-5.294028654210031,137.93915581401438
Orbital coast,2095.299999999095,-5.296073133061492,137.94477246806684
Orbital coast,2095.3999999990947,-5.298117553559305,137.95038916214315
Orbital coast,2095.4999999990946,-5.300161915680412,137.95600589625786
Orbital coast,2095.5999999990945,-5.302206219401751,137.96162267042564
Orbital coast,2095.6999999990944,-5.304250464700265,137.96723948466106
Orbital coast,2095.7999999990943,-5.306294651552894,137.97285633897877
Orbital coast,2095.8999999990942,-5.308338779936579,137.97847323339334
Orbital coast,2095.999999999094,-5.310382849828264,137.98409016791948
Orbital coast,2096.099999999094,-5.3124268612048855,137.98970714257175
Orbital coast,2096.199999999094,-5.3144708140433865,137.99532415736473
Orbital coast,2096.299999999094,-5.316514708320712,138.00094121231308
Orbital coast,2096.399999999094,-5.318558544013795,138.00655830743136
Orbital coast,2096.4999999990937,-5.320602321099586,138.0121754427342
Orbital coast,2096.5999999990936,-5.3226460395550195,138.01779261823623
Orbital coast,2096.6999999990935,-5.324689699357041,138.02340983395203
Orbital coast,2096.7999999990934,-5.326733300482588,138.0290270898962
Orbital coast,2096.8999999990933,-5.328776842908606,138.03464438608336
Orbital coast,2096.9999999990932,-5.330820326612034,138.0402617225281
Orbital coast,2097.099999999093,-5.332863751569814,138.045879099245
Orbital coast,2097.199999999093,-5.33490711775889,138.0514965162487
Orbital coast,2097.299999999093,-5.336950425156199,138.05711397355378
Orbital coast,2097.399999999093,-5.338993673738689,138.0627314711748
Orbital coast,2097.499999999093,-5.341036863483297,138.0683490091264
Orbital coast,2097.5999999990927,-5.343079994366968,138.07396658742314
Orbital coast,2097.6999999990926,-5.345123066366639,138.07958420607963
Orbital coast,2097.7999999990925,-5.3471660794592575,138.08520186511046
Orbital coast,2097.8999999990924,-5.349209033621763,138.0908195645302
Orbital coast,2097.9999999990923,-5.3512519288311,138.09643730435346
Orbital coast,2098.0999999990922,-5.353294765064207,138.10205508459478
Orbital coast,2098.199999999092,-5.355337542298029,138.1076729052688
Orbital coast,2098.299999999092,-5.357380260509506,138.1132907663901
Orbital coast,2098.399999999092,-5.359422919675585,138.11890866797322
Orbital coast,2098.499999999092,-5.361465519773204,138.12452661003275
Orbital coast,2098.599999999092,-5.3635080607793055,138.1301445925833
Orbital coast,2098.6999999990917,-5.365550542670835,138.1357626156394
Orbital coast,2098.7999999990916,-5.367592965424732,138.14138067921567
Orbital coast,2098.8999999990915,-5.36963532901794,138.14699878332664
Orbital coast,2098.9999999990914,-5.371677633427404,138.1526169279869
Orbital coast,2099.0999999990913,-5.3737198786300615,138.15823511321105
Orbital coast,2099.1999999990912,-5.375762064602861,138.1638533390136
Orbital coast,2099.299999999091,-5.377804191322742,138.16947160540923
Orbital coast,2099.399999999091,-5.379846258766649,138.17508991241237
Orbital coast,2099.499999999091,-5.381888266911525,138.18070826003765
Orbital coast,2099.599999999091,-5.38393021573431,138.18632664829963
Orbital coast,2099.699999999091,-5.385972105211953,138.1919450772129
Orbital coast,2099.7999999990907,-5.38801393532139,138.19756354679194
Orbital coast,2099.8999999990906,-5.39005570603957,138.2031820570514
Orbital coast,2099.9999999990905,-5.3920974173434315,138.2088006080058
Orbital coast,2100.0999999990904,-5.394139069209923,138.2144191996697
Orbital coast,2100.1999999990903,-5.3961806616159835,138.22003783205764
Orbital coast,2100.2999999990902,-5.398222194538559,138.2256565051842
Orbital coast,2100.39999999909,-5.400263667954593,138.23127521906392
Orbital coast,2100.49999999909,-5.402305081841027,138.23689397371132
Orbital coast,2100.59999999909,-5.404346436174805,138.242512769141
Orbital coast,2100.69999999909,-5.406387730932872,138.24813160536752
Orbital coast,2100.79999999909,-5.40842896609217,138.2537504824054
Orbital coast,2100.8999999990897,-5.410470141629647,138.25936940026912
Orbital coast,2100.9999999990896,-5.41251125752224,138.2649883589733
Orbital coast,2101.0999999990895,-5.414552313746899,138.27060735853252
Orbital coast,2101.1999999990894,-5.416593310280564,138.27622639896123
Orbital coast,2101.2999999990893,-5.41863424710018,138.28184548027403
Orbital coast,2101.3999999990892,-5.420675124182692,138.28746460248544
Orbital coast,2101.499999999089,-5.422715941505044,138.29308376561
Orbital coast,2101.599999999089,-5.424756699044181,138.29870296966223
Orbital coast,2101.699999999089,-5.426797396777043,138.30432221465668
Orbital coast,2101.799999999089,-5.428838034680578,138.30994150060786
Orbital coast,2101.899999999089,-5.43087861273173,138.31556082753036
Orbital coast,2101.9999999990887,-5.432919130907445,138.32118019543861
Orbital coast,2102.0999999990886,-5.434959589184664,138.32679960434723
Orbital coast,2102.1999999990885,-5.436999987540332,138.33241905427076
Orbital coast,2102.2999999990884,-5.439040325951395,138.33803854522364
Orbital coast,2102.3999999990883,-5.441080604394798,138.34365807722043
Orbital coast,2102.4999999990882,-5.443120822847483,138.34927765027567
Orbital coast,2102.599999999088,-5.445160981286398,138.35489726440383
Orbital coast,2102.699999999088,-5.447201079688487,138.36051691961953
Orbital coast,2102.799999999088,-5.449241118030692,138.3661366159372
Orbital coast,2102.899999999088,-5.45128109628996,138.37175635337138
Orbital coast,2102.999999999088,-5.453321014443238,138.3773761319366
Orbital coast,2103.0999999990877,-5.455360872467467,138.38299595164733
Orbital coast,2103.1999999990876,-5.457400670339596,138.38861581251814
Orbital coast,2103.2999999990875,-5.459440408036569,138.39423571456354
Orbital coast,2103.3999999990874,-5.46148008553533,138.399855657798
Orbital coast,2103.4999999990873,-5.4635197028128255,138.40547564223607
Orbital coast,2103.5999999990872,-5.4655592598460006,138.41109566789223
Orbital coast,2103.699999999087,-5.467598756611798,138.41671573478095
Orbital coast,2103.799999999087,-5.469638193087167,138.4223358429168
Orbital coast,2103.899999999087,-5.471677569249053,138.42795599231425
Orbital coast,2103.999999999087,-5.473716885074398,138.43357618298782
Orbital coast,2104.099999999087,-5.475756140540151,138.43919641495202
Orbital coast,2104.1999999990867,-5.477795335623255,138.4448166882213
Orbital coast,2104.2999999990866,-5.479834470300658,138.45043700281016
Orbital coast,2104.3999999990865,-5.4818735445493045,138.45605735873315
Orbital coast,2104.4999999990864,-5.483912558346143,138.46167775600475
Orbital coast,2104.5999999990863,-5.485951511668117,138.4672981946394
Orbital coast,2104.6999999990862,-5.487990404492173,138.47291867465162
